source,family,workload,operations_kind,operations,threads,implementation,throughput_total_mops_median,wall_time_ns_median,throughput_vs_new_delete,throughput_vs_lock_based,latency_speedup_vs_new_delete,latency_speedup_vs_lock_based
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,2048.0,1,std::allocator,39.28142330961361,104273.20755827105,0.9902970145634824,,0.990297487295363,
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,4096.0,1,mmap,48.756446522457495,168018.94163889327,1.25099496985874,,1.2509941829675824,
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,4096.0,1,new/delete,38.974134746491416,210190.7186186252,1.0,,1.0,
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,4096.0,1,std::allocator,39.28618740578679,208521.1357397436,1.008006660348591,,1.0080067800942991,
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,8192.0,1,mmap,48.657603213665894,336720.25168774027,1.2449805585856675,,1.2449818377351674,
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,8192.0,1,new/delete,39.0830225244178,419210.59774885094,1.0,,1.0,
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,8192.0,1,std::allocator,39.104753193358704,418977.20363859565,1.000556013008649,,1.0005570568236848,
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,16384.0,1,mmap,49.618759132155816,660395.3944866369,1.284039033175775,,1.2840390353874802,
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,16384.0,1,new/delete,38.642718679225226,847973.4653109557,1.0,,1.0,
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,16384.0,1,std::allocator,38.655427476647006,847694.7584133891,1.000328879485092,,1.0003287821409774,
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,32768.0,1,mmap,49.42514446676514,1325964.765267787,1.2731410660180698,,1.273141067086405,
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,32768.0,1,new/delete,38.821420332743905,1688140.1961720048,1.0,,1.0,
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,32768.0,1,std::allocator,38.7572043587362,1690937.257143603,0.9983458623240135,,0.9983458517104751,
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,49152.0,1,mmap,49.427767194065744,1988841.9293793202,1.262867394297479,,1.2628671913672977,
