source,family,implementation,workload,operations_kind,operations,threads,successful_repetitions,expected_repetitions,failed_repetitions,observed_repetitions,complete
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,AllocateRetireReclaim,operations,2048.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,AllocateRetireReclaim,operations,4096.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,AllocateRetireReclaim,operations,8192.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,AllocateRetireReclaim,operations,16384.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,AllocateRetireReclaim,operations,32768.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,AllocateRetireReclaim,operations,49152.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,AllocateRetireReclaim,operations,61440.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,ConstructDestroy,,,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,barrier,barrier,BarrierOverhead,,,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,barrier,barrier,BarrierOverhead,,,2,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,barrier,barrier,BarrierOverhead,,,4,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,barrier,barrier,BarrierOverhead,,,8,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,barrier,barrier,BarrierOverhead,,,12,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,barrier,barrier,BarrierOverhead,,,16,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,barrier,barrier,BarrierOverhead,,,24,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,barrier,barrier,BarrierOverhead,,,32,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,barrier,barrier,BarrierOverhead,,,48,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,barrier,barrier,BarrierOverhead,,,64,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,2,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,4,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,8,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,12,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,16,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,24,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,32,30,30,0,30,True
