source,family,implementation,workload,operations_kind,operations,threads,n,expected_repetitions,reported_real_time_ns_mean,reported_real_time_ns_median,reported_real_time_ns_stddev,reported_real_time_ns_cv,reported_real_time_ns_q25,reported_real_time_ns_q75,reported_real_time_ns_ci95_low,reported_real_time_ns_ci95_high,wall_time_ns_mean,wall_time_ns_median,wall_time_ns_stddev,wall_time_ns_cv,wall_time_ns_q25,wall_time_ns_q75,wall_time_ns_ci95_low,wall_time_ns_ci95_high,cpu_time_ns_mean,cpu_time_ns_median,cpu_time_ns_stddev,cpu_time_ns_cv,cpu_time_ns_q25,cpu_time_ns_q75,cpu_time_ns_ci95_low,cpu_time_ns_ci95_high,ns_per_operation_mean,ns_per_operation_median,ns_per_operation_stddev,ns_per_operation_cv,ns_per_operation_q25,ns_per_operation_q75,ns_per_operation_ci95_low,ns_per_operation_ci95_high,throughput_total_mops_mean,throughput_total_mops_median,throughput_total_mops_stddev,throughput_total_mops_cv,throughput_total_mops_q25,throughput_total_mops_q75,throughput_total_mops_ci95_low,throughput_total_mops_ci95_high,throughput_per_thread_mops_mean,throughput_per_thread_mops_median,throughput_per_thread_mops_stddev,throughput_per_thread_mops_cv,throughput_per_thread_mops_q25,throughput_per_thread_mops_q75,throughput_per_thread_mops_ci95_low,throughput_per_thread_mops_ci95_high,effective_batch_items,logical_operations
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateReleaseUnpublished,operations,512.0,1,30,30,3183.857328127111,3199.577347206812,21.381692871144253,0.006715656723136502,3159.213367743834,3200.974664881666,3163.057683513665,3200.837300210029,3183.857328127111,3199.577347206812,21.381692871144253,0.006715656723136502,3159.213367743834,3200.974664881666,3163.057683513665,3200.837300210029,3143.89219030035,3142.137275520097,3.6897785411253987,0.001173633928195514,3141.1708994734877,3146.5447793609783,3141.585562891209,3144.939289894448,3.109235671999132,3.1245872531316525,0.020880559444476716,0.006715656723136472,3.085169304437338,3.125951821173502,3.088923519056313,3.125817675986356,321.63651565781754,320.04227137223256,2.1664086436214545,0.0067355805020790985,319.9025632420928,324.1313269419988,319.9162919851279,323.73762746396517,321.63651565781754,320.04227137223256,2.1664086436214545,0.0067355805020790985,319.9025632420928,324.1313269419988,319.9162919851279,323.73762746396517,512.0,1024.0
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateReleaseUnpublished,operations,1024.0,1,30,30,6330.197648607316,6324.5230364540075,23.313939246564978,0.0036829717712991462,6316.968801242138,6331.550059465506,6318.10469558214,6327.578163572349,6330.197648607316,6324.5230364540075,23.313939246564978,0.0036829717712991462,6316.968801242138,6331.550059465506,6318.10469558214,6327.578163572349,6304.454444224164,6303.233833041829,12.12041921664344,0.001922516741753536,6299.967886808365,6309.397029676028,6300.606335249227,6307.797717075902,3.090916820609041,3.088146013893558,0.011383759397736807,0.0036829717712991467,3.084457422481513,3.091577177473392,3.085012058389717,3.089637775181811,323.53281263931206,323.8188854148914,1.1825136746352205,0.003655003846405948,323.4594974725338,324.2061299786255,323.6625401286599,324.1478422462641,323.53281263931206,323.8188854148914,1.1825136746352205,0.003655003846405948,323.4594974725338,324.2061299786255,323.6625401286599,324.1478422462641,1024.0,2048.0
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateReleaseUnpublished,operations,2048.0,1,30,30,12812.89673108368,12814.309066288663,55.28189256127146,0.004314550700089493,12810.046270551155,12820.539019323114,12811.578887479503,12818.643778221322,12812.89673108368,12814.309066288663,55.28189256127146,0.004314550700089493,12810.046270551155,12820.539019323114,12811.578887479503,12818.643778221322,12588.603285774672,12578.440202275746,30.46497155257992,0.0024200438174905264,12573.905842514354,12584.22381253392,12574.14789597192,12581.286581180939,3.1281486159872265,3.1284934243868805,0.013496555801091738,0.004314550700089516,3.127452702771278,3.130014409014432,3.1278268768260507,3.129551703667315,319.6836836722071,319.6426736210094,1.3852938557868868,0.004333326743091838,319.48734845067844,319.7490405594374,319.53458344942464,319.7107906631252,319.6836836722071,319.6426736210094,1.3852938557868868,0.004333326743091838,319.48734845067844,319.7490405594374,319.53458344942464,319.7107906631252,2048.0,4096.0
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateReleaseUnpublished,operations,4096.0,1,30,30,25406.730388400254,25367.923715954512,96.56386897341902,0.003800720025647472,25344.74505165023,25432.837119862248,25353.394856610652,25390.92125983881,25406.730388400254,25367.923715954512,96.56386897341902,0.003800720025647472,25344.74505165023,25432.837119862248,25353.394856610652,25390.92125983881,25284.225909605226,25284.718991549238,61.07719260644695,0.0024156243827597006,25270.543162610884,25299.526240696203,25272.048508269312,25294.826085385474,3.1014075181152654,3.0966703754827285,0.011787581661794349,0.0038007200256474833,3.093840948687772,3.1045943749831846,3.0948968330823554,3.0994776928514174,322.43872532398325,322.9274926786652,1.2187220019395246,0.0037797010911606995,322.1033833710942,323.2228223225736,322.6350047123573,323.11254787531374,322.43872532398325,322.9274926786652,1.2187220019395246,0.0037797010911606995,322.1033833710942,323.2228223225736,322.6350047123573,323.11254787531374,4096.0,8192.0
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateReleaseUnpublished,operations,8192.0,1,30,30,50742.58394881364,50716.60867025752,163.0020781623032,0.003212333024402755,50675.51404904102,50774.041782214576,50679.17106992049,50760.88198803511,50742.58394881364,50716.60867025752,163.0020781623032,0.003212333024402755,50675.51404904102,50774.041782214576,50679.17106992049,50760.88198803511,50548.96468155593,50553.9040286098,103.80601788588854,0.00205357357049421,50517.144942345214,50619.87910524142,50534.08750547405,50612.473945409045,3.0970815398445826,3.0954961346592724,0.009948857309710889,0.003212333024402755,3.0929879180322892,3.099001573621495,3.093211124873077,3.098198363527534,322.8878251859261,323.0500049428409,1.0317909471958886,0.003195508987066205,322.684573182515,323.3119645166877,322.76822971386997,323.2886344750781,322.8878251859261,323.0500049428409,1.0317909471958886,0.003195508987066205,322.684573182515,323.3119645166877,322.76822971386997,323.2886344750781,8192.0,16384.0
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateReleaseUnpublished,operations,16384.0,1,30,30,101820.23879284202,101548.36903020485,552.5304307717939,0.005426528530304693,101437.36382945048,102420.56138297995,101475.64576616528,102049.46630530385,101820.23879284202,101548.36903020485,552.5304307717939,0.005426528530304693,101437.36382945048,102420.56138297995,101475.64576616528,102049.46630530385,101076.5331868349,101108.74860826532,300.8383573095346,0.0029763422609029337,100832.0231467862,101254.93869030447,100878.11837093225,101229.53413419332,3.107307092066712,3.0990102853456065,0.016861890587518136,0.005426528530304697,3.095622675459304,3.1256274836114493,3.0967909474537745,3.1143025605866654,321.8312015141831,322.6836661153567,1.7408203329189107,0.005409109883468502,319.9363005324409,323.0367909054811,321.0993267048934,322.9149240780666,321.8312015141831,322.6836661153567,1.7408203329189107,0.005409109883468502,319.9363005324409,323.0367909054811,321.0993267048934,322.9149240780666,16384.0,32768.0
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateReleaseUnpublished,operations,32768.0,1,30,30,202543.3283420356,202429.6154961614,611.8005490908997,0.0030205909723066767,202092.5175565302,202848.48360430833,202154.10272789476,202716.67846774455,202543.3283420356,202429.6154961614,611.8005490908997,0.0030205909723066767,202092.5175565302,202848.48360430833,202154.10272789476,202716.67846774455,201996.64103308253,201886.4733023692,570.410712474899,0.0028238623650255574,201568.64973882659,202299.2096633589,201657.974172958,202177.75478816306,3.090565923187799,3.088830802858908,0.009335335526899656,0.0030205909723066576,3.083687096504672,3.0952222229661306,3.0846268116439015,3.0932110361899494,323.56817858880714,323.74709520489307,0.9736810168414464,0.0030091989301544004,323.07858419478544,324.28712535633736,323.2887048945353,324.1883252236232,323.56817858880714,323.74709520489307,0.9736810168414464,0.0030091989301544004,323.07858419478544,324.28712535633736,323.2887048945353,324.1883252236232,32768.0,65536.0
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateReleaseUnpublished,operations,49152.0,1,30,30,303202.31113042956,303151.3886955271,442.4005556458544,0.0014590936130943458,302943.57108726655,303265.4676086049,303049.91217393684,303228.37608705217,303202.31113042956,303151.3886955271,442.4005556458544,0.0014590936130943458,302943.57108726655,303265.4676086049,303049.91217393684,303228.37608705217,302405.8361449329,302357.5439130394,416.07333283777655,0.0013758773247959629,302170.031956512,302458.29086958984,302259.4408695736,302413.3486956484,3.0843334058678127,3.083815396072663,0.00450033117315523,0.0014590936130943375,3.0817013660407158,3.0849758667867517,3.0827831235141687,3.084598552317832,324.219829780477,324.2736259181386,0.47165293599965263,0.001454731921607015,324.15164526339896,324.4960792349348,324.1912953931387,324.3822092009385,324.219829780477,324.2736259181386,0.47165293599965263,0.001454731921607015,324.15164526339896,324.4960792349348,324.1912953931387,324.3822092009385,49152.0,98304.0
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateReleaseUnpublished,operations,61440.0,1,30,30,378403.74323256384,378396.28941694205,246.5092590362444,0.0006514450859560917,378248.7845569449,378545.23488131113,378286.30885533383,378463.8018360193,378403.74323256384,378396.28941694205,246.5092590362444,0.0006514450859560917,378248.7845569449,378545.23488131113,378286.30885533383,378463.8018360193,377475.8396688262,377443.64254855446,230.51631388566057,0.0006106783260298228,377344.1592872424,377622.7607991418,377378.7586393294,377537.4713823053,3.0794575458379216,3.0793968865311037,0.0020060974856464706,0.0006514450859560757,3.0781964889074294,3.08060900782317,3.0785018624294747,3.0799463040040633,324.732650230707,324.73891380745556,0.21149297740869816,0.0006512833780602059,324.6111419366718,324.86555152205693,324.68098547506787,324.8333274484569,324.732650230707,324.73891380745556,0.21149297740869816,0.0006512833780602059,324.6111419366718,324.86555152205693,324.68098547506787,324.8333274484569,61440.0,122880.0
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateRetireReclaim,operations,512.0,1,30,30,20499.300161894214,20485.844430102792,205.16134722434907,0.010008212261105374,20430.39292083106,20594.94686769001,20468.84486044855,20537.44310218014,20499.300161894214,20485.844430102792,205.16134722434907,0.010008212261105374,20430.39292083106,20594.94686769001,20468.84486044855,20537.44310218014,20448.776845362223,20434.804039097406,204.45457953351388,0.009998376972844912,20381.30513033176,20544.625999015378,20418.719752857018,20487.01407844349,20.01884781434982,20.005707451272258,0.20035287814877825,0.010008212261105367,19.951555586749084,20.112252800478526,19.98910630903179,20.056096779472792,49.95774762323206,49.985735444449524,0.4985582109278707,0.009979597452788766,49.7209723848497,50.121432337952214,49.860197470083534,50.0272492622981,49.95774762323206,49.985735444449524,0.4985582109278707,0.009979597452788766,49.7209723848497,50.121432337952214,49.860197470083534,50.0272492622981,512.0,1024.0
