source,name,family,implementation,workload,operations_kind,operations,threads,repetition,expected_repetitions,error_occurred,error_message,iterations,reported_real_time_ns,wall_time_ns,cpu_time_ns,effective_batch_items,logical_operations,ns_per_operation,throughput_total_ops_per_second,throughput_total_mops,throughput_per_thread_mops,google_items_per_second,bytes_per_second
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_ConstructDestroy/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,ConstructDestroy,,,1,13,30,False,,2380,149507.8899158422,149507.8899158422,147998.35084033632,1.0,1.0,149507.8899158422,6688.61021691162,0.00668861021691162,0.00668861021691162,6688.61021691162,
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_ConstructDestroy/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,ConstructDestroy,,,1,14,30,False,,2380,149603.16344540307,149603.16344540307,148863.1394957982,1.0,1.0,149603.16344540307,6684.350631161252,0.006684350631161252,0.006684350631161252,6684.350631161252,
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_ConstructDestroy/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,ConstructDestroy,,,1,15,30,False,,2380,149011.2302520197,149011.2302520197,147487.70630252105,1.0,1.0,149011.2302520197,6710.90358967388,0.00671090358967388,0.00671090358967388,6710.90358967388,
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_ConstructDestroy/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,ConstructDestroy,,,1,16,30,False,,2380,147656.63109247884,147656.63109247884,146687.54075630245,1.0,1.0,147656.63109247887,6772.469293124328,0.006772469293124328,0.006772469293124328,6772.469293124328,
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_ConstructDestroy/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,ConstructDestroy,,,1,17,30,False,,2380,146138.92226884863,146138.92226884863,145680.800420168,1.0,1.0,146138.92226884863,6842.803987293142,0.006842803987293142,0.006842803987293142,6842.803987293142,
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_ConstructDestroy/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,ConstructDestroy,,,1,18,30,False,,2380,145453.9798319389,145453.9798319389,144999.17563025196,1.0,1.0,145453.9798319389,6875.026734609975,0.0068750267346099755,0.0068750267346099755,6875.026734609975,
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_ConstructDestroy/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,ConstructDestroy,,,1,19,30,False,,2380,145358.59285705318,145358.59285705318,144930.78361344544,1.0,1.0,145358.59285705318,6879.538253259015,0.006879538253259015,0.006879538253259015,6879.538253259015,
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_ConstructDestroy/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,ConstructDestroy,,,1,20,30,False,,2380,145361.4302520026,145361.4302520026,144941.1668067224,1.0,1.0,145361.4302520026,6879.403967519941,0.006879403967519941,0.006879403967519941,6879.403967519941,
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_ConstructDestroy/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,ConstructDestroy,,,1,21,30,False,,2380,145440.19033599232,145440.19033599232,144922.7869747896,1.0,1.0,145440.1903359923,6875.678570619476,0.006875678570619476,0.006875678570619476,6875.678570619476,
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_ConstructDestroy/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,ConstructDestroy,,,1,22,30,False,,2380,145835.22016807878,145835.22016807878,145384.75000000044,1.0,1.0,145835.22016807875,6857.054138550858,0.006857054138550858,0.006857054138550858,6857.054138550858,
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_ConstructDestroy/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,ConstructDestroy,,,1,23,30,False,,2380,145499.4672269645,145499.4672269645,145059.63361344542,1.0,1.0,145499.4672269645,6872.87739988835,0.00687287739988835,0.00687287739988835,6872.87739988835,
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_ConstructDestroy/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,ConstructDestroy,,,1,24,30,False,,2380,145589.45882343614,145589.45882343614,145020.46974789948,1.0,1.0,145589.45882343614,6868.629144454419,0.006868629144454418,0.006868629144454418,6868.629144454419,
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_ConstructDestroy/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,ConstructDestroy,,,1,25,30,False,,2380,145488.89789904107,145488.89789904107,145049.13403361352,1.0,1.0,145488.89789904107,6873.376693621864,0.006873376693621864,0.006873376693621864,6873.376693621864,
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_ConstructDestroy/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,ConstructDestroy,,,1,26,30,False,,2380,145426.707983285,145426.707983285,144995.27268907576,1.0,1.0,145426.707983285,6876.31600733847,0.00687631600733847,0.00687631600733847,6876.31600733847,
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_ConstructDestroy/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,ConstructDestroy,,,1,27,30,False,,2380,145417.33865547282,145417.33865547282,144927.04201680695,1.0,1.0,145417.33865547282,6876.759052572337,0.006876759052572337,0.006876759052572337,6876.759052572337,
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_ConstructDestroy/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,ConstructDestroy,,,1,28,30,False,,2380,145901.37773096966,145901.37773096966,145436.17436974816,1.0,1.0,145901.37773096966,6853.944873940252,0.0068539448739402525,0.0068539448739402525,6853.944873940252,
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_ConstructDestroy/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,ConstructDestroy,,,1,29,30,False,,2380,145670.8676471885,145670.8676471885,145214.4516806721,1.0,1.0,145670.86764718854,6864.790579966729,0.006864790579966729,0.006864790579966729,6864.790579966729,
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_AllocateReleaseUnpublished/operations:512/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,0,30,False,,67636,5169.934871959914,5169.934871959914,5157.00439115266,512.0,1024.0,5.048764523398353,198068259.14845678,198.06825914845678,198.06825914845678,198068259.14845678,6338184292.750617
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_AllocateReleaseUnpublished/operations:512/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,1,30,False,,67636,5156.670959250533,5156.670959250533,5144.091031403383,512.0,1024.0,5.035811483643099,198577727.39271837,198.57772739271837,198.57772739271837,198577727.39271837,6354487276.566988
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_AllocateReleaseUnpublished/operations:512/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,2,30,False,,67636,5162.136037019169,5162.136037019169,5149.0011384469635,512.0,1024.0,5.041148473651532,198367496.06298637,198.36749606298636,198.36749606298636,198367496.06298637,6347759874.015564
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_AllocateReleaseUnpublished/operations:512/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,3,30,False,,67636,5162.404902712653,5162.404902712653,5149.486486486496,512.0,1024.0,5.041411037805325,198357164.78998497,198.35716478998498,198.35716478998498,198357164.78998497,6347429273.279519
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_AllocateReleaseUnpublished/operations:512/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,4,30,False,,67636,5156.4276273021105,5156.4276273021105,5144.240848069089,512.0,1024.0,5.035573854787216,198587098.28063002,198.58709828063002,198.58709828063002,198587098.28063002,6354787144.980161
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_AllocateReleaseUnpublished/operations:512/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,5,30,False,,67636,5163.835013899813,5163.835013899813,5150.669554675038,512.0,1024.0,5.042807630761535,198302230.26948696,198.30223026948696,198.30223026948696,198302230.26948696,6345671368.623583
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_AllocateReleaseUnpublished/operations:512/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,6,30,False,,67636,5164.569903604078,5164.569903604078,5152.2283695073465,512.0,1024.0,5.043525296488356,198274012.95999599,198.27401295999599,198.27401295999599,198274012.95999599,6344768414.7198715
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_AllocateReleaseUnpublished/operations:512/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,7,30,False,,67636,5159.742710983092,5159.742710983092,5147.264533680297,512.0,1024.0,5.038811241194426,198459508.03327864,198.45950803327864,198.45950803327864,198459508.03327864,6350704257.064917
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_AllocateReleaseUnpublished/operations:512/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,8,30,False,,67636,5163.491676025953,5163.491676025953,5149.541782482716,512.0,1024.0,5.042472339869095,198315416.04965165,198.31541604965165,198.31541604965165,198315416.04965165,6346093313.588853
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_AllocateReleaseUnpublished/operations:512/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,9,30,False,,67636,5168.934664971155,5168.934664971155,5156.031654740085,512.0,1024.0,5.047787758760894,198106586.05136663,198.10658605136663,198.10658605136663,198106586.05136663,6339410753.643732
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_AllocateReleaseUnpublished/operations:512/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,10,30,False,,67636,5167.458099233628,5167.458099233628,5154.544074161683,512.0,1024.0,5.046345800032839,198163193.65063974,198.16319365063976,198.16319365063976,198163193.65063974,6341222196.820472
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_AllocateReleaseUnpublished/operations:512/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,11,30,False,,67636,5169.2666627224635,5169.2666627224635,5155.670885327331,512.0,1024.0,5.048111975314906,198093862.59456322,198.0938625945632,198.0938625945632,198093862.59456322,6339003603.026023
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_AllocateReleaseUnpublished/operations:512/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,12,30,False,,67636,5160.7001744640365,5160.7001744640365,5148.284582175171,512.0,1024.0,5.039746264125036,198422687.8877627,198.4226878877627,198.4226878877627,198422687.8877627,6349526012.408406
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_AllocateReleaseUnpublished/operations:512/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,13,30,False,,67636,5158.680702588199,5158.680702588199,5146.639334082433,512.0,1024.0,5.037774123621288,198500364.53821257,198.50036453821258,198.50036453821258,198500364.53821257,6352011665.222802
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_AllocateReleaseUnpublished/operations:512/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,14,30,False,,67636,5180.038145367534,5180.038145367534,5166.602253237942,512.0,1024.0,5.058631001335481,197681941.95939562,197.68194195939563,197.68194195939563,197681941.95939562,6325822142.70066
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_AllocateReleaseUnpublished/operations:512/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,15,30,False,,67636,5161.781876513356,5161.781876513356,5149.117186113927,512.0,1024.0,5.040802613782574,198381106.4662198,198.38110646621982,198.38110646621982,198381106.4662198,6348195406.919034
libVentra_deque_concurrent_deque_benchmark.json,Arena_ConcurrentDequeNew_AllocateReleaseUnpublished/operations:512/min_time:0.250/min_warmup_time:0.100/repeats:30/real_time/threads:1,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,16,30,False,,67636,5173.108389024089,5173.108389024089,5160.331628127055,512.0,1024.0,5.051863661156336,197946751.35217467,197.94675135217466,197.94675135217466,197946751.35217467,6334296043.269589
